     HJD(day)        flux_norm        err_norm
  -2.0743333e-01   1.0042109e+00   2.9505600e-03
  -2.0523333e-01   9.9690764e-01   2.9580232e-03
  -2.0156667e-01   9.9743881e-01   2.9465047e-03
  -1.9936667e-01   1.0007759e+00   2.9380124e-03
  -1.9716667e-01   9.9852627e-01   2.9278443e-03
  -1.9516667e-01   9.9626772e-01   2.8540864e-03
  -1.9276667e-01   9.9308089e-01   2.9083678e-03
  -1.9146667e-01   9.9652666e-01   2.7865941e-03
  -1.9026667e-01   1.0004175e+00   2.8411813e-03
  -1.8923333e-01   1.0005135e+00   2.7677073e-03
  -1.8806667e-01   1.0008613e+00   2.8615277e-03
  -1.8673333e-01   9.9650815e-01   2.7055915e-03
  -1.8453333e-01   9.9819602e-01   2.7005415e-03
  -1.8186667e-01   9.9756098e-01   2.7039925e-03
  -1.2636667e-01   9.9928531e-01   2.9118328e-03
  -1.2456667e-01   9.9599269e-01   2.8572851e-03
  -1.2330000e-01   1.0005067e+00   2.8570246e-03
  -1.2160000e-01   9.9452817e-01   2.8525309e-03
  -1.2053333e-01   9.9820978e-01   2.7790493e-03
  -1.1940000e-01   9.9946468e-01   2.8390385e-03
  -1.1833333e-01   1.0026934e+00   2.7716046e-03
  -1.1710000e-01   1.0017358e+00   2.7840518e-03
  -1.1503333e-01   9.9906075e-01   2.7018287e-03
  -1.1283333e-01   9.9917875e-01   2.6977862e-03
  -1.1063333e-01   9.9878101e-01   2.7165839e-03
  -9.2900000e-02   1.0004582e+00   2.4950118e-03
  -8.4300000e-02   1.0052166e+00   2.5068803e-03
  -7.7644444e-02   9.9698047e-01   2.7956406e-03
  -7.5588889e-02   1.0054045e+00   2.6653992e-03
  -7.3933333e-02   9.9687583e-01   2.9432763e-03
  -7.2688889e-02   1.0011051e+00   2.6531266e-03
  -7.1000000e-02   1.0039480e+00   2.9451823e-03
  -6.9755555e-02   9.9886876e-01   2.6441605e-03
  -6.8066666e-02   1.0096942e+00   2.9442215e-03
  -6.6822222e-02   1.0067837e+00   2.6651823e-03
  -6.5133333e-02   1.0061012e+00   2.9634657e-03
  -6.3822222e-02   1.0008488e+00   2.6595947e-03
  -6.1144444e-02   1.0010335e+00   2.8057792e-03
  -5.9977778e-02   1.0036148e+00   2.8014665e-03
  -5.8211111e-02   1.0034933e+00   2.8005909e-03
  -5.6811111e-02   1.0011785e+00   2.7911055e-03
  -5.5277778e-02   1.0021557e+00   2.7902021e-03
  -5.3777778e-02   1.0004113e+00   2.7209787e-03
  -5.2844444e-02   1.0015593e+00   2.7859035e-03
  -5.1433333e-02   9.9905638e-01   2.8526821e-03
  -5.0577778e-02   9.9844172e-01   2.7092365e-03
  -4.9644444e-02   1.0030165e+00   2.7059363e-03
  -4.8766667e-02   1.0002745e+00   2.8305568e-03
  -4.7844444e-02   1.0010783e+00   2.6383282e-03
  -4.7033333e-02   1.0054484e+00   2.8572334e-03
  -4.5877778e-02   1.0014746e+00   2.6358538e-03
  -4.4255556e-02   1.0021244e+00   2.5713400e-03
  -4.2444444e-02   9.9950264e-01   2.6340224e-03
  -4.0944444e-02   1.0012044e+00   2.6336057e-03
  -3.9511111e-02   1.0003480e+00   2.6538333e-03
  -3.5900000e-02   1.0015620e+00   2.4992928e-03
  -3.1200000e-02   9.9836936e-01   2.4942149e-03
  -2.5800000e-02   9.9892454e-01   2.4974358e-03
  -1.6166667e-02   9.9699193e-01   2.4979974e-03
  -9.4111110e-03   9.9466452e-01   2.9785406e-03
  -7.7333331e-03   9.9629327e-01   2.9405177e-03
  -5.9444443e-03   9.9199605e-01   2.7958449e-03
  -4.0666665e-03   9.9130972e-01   2.9383648e-03
  -2.4444443e-03   9.9099767e-01   2.8005782e-03
  -4.1111099e-04   9.9205884e-01   2.7983513e-03
   1.0666669e-03   9.9413121e-01   2.9382775e-03
   3.0555557e-03   9.9566388e-01   2.8055577e-03
   4.7333335e-03   9.9329754e-01   2.9562235e-03
   7.6888890e-03   9.9543693e-01   2.8099847e-03
   1.0288889e-02   9.9575591e-01   2.8026996e-03
   1.2066667e-02   9.9592726e-01   2.9400929e-03
   1.3788889e-02   9.9408610e-01   2.7895968e-03
   1.5633333e-02   9.9553372e-01   2.8705963e-03
   1.6755556e-02   9.9350843e-01   2.7171873e-03
   1.7600000e-02   9.9433150e-01   2.8474773e-03
   1.9100000e-02   9.9722738e-01   2.8484746e-03
   1.9955556e-02   9.9769078e-01   2.7118798e-03
   2.0966667e-02   1.0058600e+00   2.7756155e-03
   2.2000000e-02   1.0007772e+00   2.8288447e-03
   2.2955556e-02   9.9974564e-01   2.7106831e-03
   2.4366667e-02   1.0027320e+00   2.7993415e-03
   2.6155556e-02   9.9969159e-01   2.6339805e-03
   2.7966667e-02   1.0069321e+00   2.7025699e-03
   2.9622222e-02   1.0050466e+00   2.6423544e-03
   3.3344444e-02   1.0049573e+00   2.5881390e-03
   4.2600000e-02   9.9999552e-01   2.5090258e-03
   5.1966667e-02   9.9825411e-01   2.5060969e-03
   6.0277778e-02   9.9875525e-01   2.7184071e-03
   6.2466667e-02   9.9610264e-01   2.9483310e-03
   6.4488889e-02   1.0001856e+00   2.8040527e-03
   6.6166667e-02   1.0018135e+00   2.9486990e-03
   6.7988889e-02   9.9765675e-01   2.8054795e-03
   6.9833334e-02   1.0002704e+00   2.9438712e-03
   7.1488889e-02   1.0025140e+00   2.8098468e-03
   7.3500000e-02   1.0058955e+00   2.9495838e-03
   7.5022222e-02   9.9911601e-01   2.8145010e-03
   7.7022222e-02   9.9996763e-01   2.8117275e-03
   7.9133334e-02   9.9609309e-01   2.9442491e-03
   8.1022222e-02   9.9684723e-01   2.8058157e-03
   8.3033334e-02   9.9669621e-01   2.9413351e-03
   8.4522222e-02   1.0012821e+00   2.7956663e-03
   8.6555556e-02   1.0001681e+00   2.7888149e-03
   8.7666667e-02   1.0006156e+00   2.7962062e-03
   8.8666667e-02   1.0050731e+00   2.8522494e-03
   8.9755556e-02   1.0022561e+00   2.7269394e-03
   9.0633333e-02   1.0029214e+00   2.7816877e-03
   9.1566667e-02   1.0016223e+00   2.8377104e-03
   9.2833333e-02   1.0008161e+00   2.7703129e-03
   9.3622222e-02   9.9859879e-01   2.7077083e-03
   9.4766667e-02   1.0008989e+00   2.7895294e-03
   9.6688889e-02   1.0021420e+00   2.6407412e-03
   9.8433333e-02   1.0010147e+00   2.7038207e-03
   1.0022222e-01   9.9890784e-01   2.6406778e-03
   1.0394444e-01   9.9882016e-01   2.5842259e-03
   1.1336667e-01   1.0033061e+00   2.5174921e-03
   1.2303333e-01   1.0038421e+00   2.5188892e-03
   1.3095556e-01   1.0002478e+00   2.8692084e-03
   1.3305556e-01   9.9646342e-01   2.7966691e-03
   1.3505556e-01   9.9946064e-01   2.8049363e-03
   1.3653333e-01   9.9948573e-01   2.9496933e-03
   1.3862222e-01   1.0006530e+00   2.8130711e-03
   1.4073333e-01   1.0069322e+00   2.9574950e-03
   1.4265556e-01   1.0018989e+00   2.8183434e-03
   1.4463333e-01   1.0013106e+00   2.9584548e-03
   1.4615556e-01   9.9912133e-01   2.8096604e-03
   1.4822222e-01   9.9527915e-01   2.8092268e-03
   1.4976667e-01   9.9624441e-01   2.9500356e-03
   1.5178889e-01   9.9787499e-01   2.8070504e-03
   1.5343333e-01   9.9635637e-01   2.9449337e-03
   1.5532222e-01   1.0022399e+00   2.8043151e-03
   1.5710000e-01   1.0018783e+00   2.9313423e-03
   1.5842222e-01   1.0021345e+00   2.7334414e-03
   1.5920000e-01   9.9918429e-01   2.7816198e-03
   1.6033333e-01   1.0010339e+00   2.8491880e-03
   1.6140000e-01   1.0000283e+00   2.7755664e-03
   1.6222222e-01   9.9816966e-01   2.7084031e-03
   1.6330000e-01   9.9933411e-01   2.8309240e-03
   1.6448889e-01   9.9596823e-01   2.7256091e-03
   1.6710000e-01   9.9902926e-01   2.7016839e-03
   1.6912222e-01   1.0004799e+00   2.6411231e-03
   1.7115556e-01   9.9974139e-01   2.6476662e-03
   1.7641111e-01   1.0023113e+00   2.6041240e-03
   1.8806667e-01   9.9770566e-01   2.5130665e-03
   1.9797778e-01   9.9685288e-01   2.7175200e-03
   2.0326667e-01   9.9785055e-01   2.9523393e-03
   2.0550000e-01   9.9588823e-01   2.9373238e-03
