 HJD-2451545  Normalized_Flux  Normalized_Flux_err
   6.0851670e+03   9.9556768e-01   4.4829399e-03
   6.0851695e+03   9.9148701e-01   4.4645651e-03
   6.0851725e+03   9.9687850e-01   4.4888424e-03
   6.0851752e+03   9.9407783e-01   4.4762313e-03
   6.0851777e+03   1.0053191e+00   4.5268497e-03
   6.0851803e+03   1.0069408e+00   4.5341520e-03
   6.0851829e+03   1.0070726e+00   4.5347455e-03
   6.0851857e+03   1.0010306e+00   4.5075388e-03
   6.0851897e+03   1.0081551e+00   4.5396198e-03
   6.0851926e+03   9.9793945e-01   4.4936197e-03
   6.0851954e+03   1.0015214e+00   4.5097489e-03
   6.0851981e+03   1.0013076e+00   4.5087862e-03
   6.0852008e+03   1.0008917e+00   4.5069132e-03
   6.0852039e+03   1.0022905e+00   4.5132122e-03
   6.0852074e+03   9.9542345e-01   4.4822905e-03
   6.0852104e+03   9.9750130e-01   4.4916468e-03
   6.0852132e+03   9.9667542e-01   4.4879280e-03
   6.0852159e+03   9.9246379e-01   4.4689634e-03
   6.0852186e+03   9.9167168e-01   4.4653966e-03
   6.0852218e+03   9.9584932e-01   4.4842081e-03
   6.0852251e+03   9.9738123e-01   4.4911061e-03
   6.0852282e+03   9.9673757e-01   4.4882078e-03
   6.0852310e+03   9.9435383e-01   4.4774741e-03
   6.0852326e+03   9.9682947e-01   4.4886216e-03
   6.0852352e+03   1.0031607e+00   4.5171305e-03
   6.0852375e+03   1.0017369e+00   4.5107193e-03
   6.0852414e+03   9.9943333e-01   4.5003465e-03
   6.0852442e+03   9.9907614e-01   4.4987382e-03
   6.0852476e+03   9.9539017e-01   4.4821406e-03
   6.0852505e+03   1.0024675e+00   4.5140092e-03
   6.0852530e+03   1.0013287e+00   4.5088813e-03
   6.0852555e+03   9.8954081e-01   4.4558015e-03
   6.0852584e+03   9.9307157e-01   4.4717002e-03
   6.0852616e+03   9.9285793e-01   4.4707382e-03
   6.0852642e+03   1.0028929e+00   4.5159246e-03
   6.0852670e+03   1.0002308e+00   4.5039375e-03
   6.0852699e+03   1.0091456e+00   4.5440799e-03
   6.0852729e+03   1.0026902e+00   4.5150121e-03
   6.0852766e+03   9.9204540e-01   4.4670795e-03
   6.0852795e+03   1.0026286e+00   4.5147347e-03
   6.0852825e+03   9.9130329e-01   4.4637378e-03
   6.0852853e+03   9.9590967e-01   4.4844799e-03
   6.0852882e+03   9.9741016e-01   4.4912364e-03
   6.0852912e+03   9.9445952e-01   4.4779500e-03
   6.0852945e+03   9.9979249e-01   4.5019638e-03
   6.0852977e+03   9.9943508e-01   4.5003544e-03
   6.0853008e+03   1.0072894e+00   4.5357217e-03
   6.0853039e+03   9.9943250e-01   4.5003428e-03
   6.0853073e+03   1.0027616e+00   4.5153336e-03
   6.0853106e+03   1.0049696e+00   4.5252756e-03
   6.0853138e+03   1.0027836e+00   4.5154325e-03
   6.0853170e+03   1.0067003e+00   4.5330689e-03
   6.0853199e+03   1.0036155e+00   4.5191783e-03
   6.0853229e+03   1.0068878e+00   4.5339132e-03
   6.0853258e+03   9.9676906e-01   4.4883496e-03
   6.0853290e+03   9.9918933e-01   4.4992478e-03
   6.0853319e+03   9.9307331e-01   4.4717080e-03
   6.0853350e+03   1.0035220e+00   4.5187575e-03
   6.0853384e+03   9.9349478e-01   4.4736059e-03
   6.0853415e+03   1.0063626e+00   4.5315481e-03
   6.0853448e+03   9.9395643e-01   4.4756846e-03
   6.0853478e+03   9.9958615e-01   4.5010347e-03
   6.0853507e+03   9.9523717e-01   4.4814517e-03
   6.0853537e+03   9.8662898e-01   4.4426899e-03
   6.0853567e+03   9.9875938e-01   4.4973118e-03
   6.0853597e+03   9.9814462e-01   4.4945436e-03
   6.0853631e+03   1.0021224e+00   4.5124549e-03
   6.0853662e+03   1.0050640e+00   4.5257008e-03
   6.0853692e+03   1.0012768e+00   4.5086475e-03
   6.0853722e+03   9.9860503e-01   4.4966168e-03
   6.0853756e+03   1.0107281e+00   4.5512058e-03
   6.0853796e+03   1.0047400e+00   4.5242421e-03
   6.0853836e+03   1.0112130e+00   4.5533890e-03
   6.0853870e+03   1.0062326e+00   4.5309630e-03
   6.0853902e+03   1.0046633e+00   4.5238967e-03
   6.0853931e+03   1.0031854e+00   4.5172416e-03
   6.0853962e+03   1.0014914e+00   4.5096139e-03
   6.0853992e+03   9.9967923e-01   4.5014538e-03
   6.0854022e+03   9.9974065e-01   4.5017304e-03
   6.0854052e+03   1.0088992e+00   4.5429705e-03
   6.0854083e+03   1.0032770e+00   4.5176543e-03
   6.0854113e+03   1.0001096e+00   4.5033916e-03
   6.0854142e+03   1.0036763e+00   4.5194522e-03
   6.0854173e+03   1.0034815e+00   4.5185748e-03
   6.0854203e+03   1.0012760e+00   4.5086437e-03
   6.0923048e+03   9.9655584e-01   3.6646926e-03
   6.0923075e+03   1.0019054e+00   3.6843649e-03
   6.0923101e+03   1.0026026e+00   3.6869288e-03
   6.0923129e+03   1.0042040e+00   3.6928178e-03
   6.0923158e+03   1.0050379e+00   3.6958842e-03
   6.0923186e+03   1.0054688e+00   3.6974688e-03
   6.0923214e+03   1.0057470e+00   3.6984919e-03
   6.0923245e+03   1.0071367e+00   3.7036024e-03
   6.0923274e+03   9.9876151e-01   3.6728037e-03
   6.0923303e+03   9.9722923e-01   3.6671689e-03
   6.0923331e+03   9.9863963e-01   3.6723555e-03
   6.0923359e+03   9.9811871e-01   3.6704399e-03
   6.0923388e+03   1.0013089e+00   3.6821714e-03
   6.0923420e+03   9.9799599e-01   3.6699886e-03
   6.0923450e+03   9.9836337e-01   3.6713396e-03
   6.0923479e+03   9.9870016e-01   3.6725781e-03
   6.0923507e+03   9.9857994e-01   3.6721360e-03
   6.0923536e+03   1.0041741e+00   3.6927076e-03
   6.0923564e+03   1.0000827e+00   3.6776622e-03
   6.0923595e+03   9.9943814e-01   3.6752919e-03
   6.0923625e+03   9.9830369e-01   3.6711201e-03
   6.0923659e+03   9.9594592e-01   3.6624498e-03
   6.0923692e+03   1.0011242e+00   3.6814921e-03
   6.0923721e+03   1.0056534e+00   3.6981476e-03
   6.0923750e+03   1.0019564e+00   3.6845526e-03
   6.0923779e+03   1.0006354e+00   3.6796948e-03
   6.0923808e+03   9.9998959e-01   3.6773198e-03
   6.0923839e+03   1.0026651e+00   3.6871587e-03
   6.0923869e+03   9.9588474e-01   3.6622248e-03
   6.0923898e+03   1.0016484e+00   3.6834199e-03
   6.0923927e+03   1.0035577e+00   3.6904411e-03
   6.0923957e+03   9.9463111e-01   3.6576147e-03
   6.0923987e+03   9.8161665e-01   3.6097559e-03
   6.0924017e+03   9.9545621e-01   3.6606489e-03
   6.0924050e+03   1.0008806e+00   3.6805964e-03
   6.0931319e+03   9.9649898e-01   2.2918841e-03
   6.0931349e+03   9.9894666e-01   2.2975136e-03
   6.0931379e+03   9.9628369e-01   2.2913889e-03
   6.0931415e+03   9.9747803e-01   2.2941358e-03
   6.0931449e+03   9.9833703e-01   2.2961115e-03
   6.0931491e+03   9.9919244e-01   2.2980788e-03
   6.0931520e+03   9.9497017e-01   2.2883679e-03
   6.0931554e+03   9.9809247e-01   2.2955490e-03
   6.0931587e+03   9.9766207e-01   2.2945591e-03
   6.0931616e+03   9.9686673e-01   2.2927298e-03
   6.0931644e+03   9.9301704e-01   2.2838758e-03
   6.0931679e+03   9.9799862e-01   2.2953331e-03
   6.0931737e+03   9.9738690e-01   2.2939262e-03
   6.0931765e+03   9.9956283e-01   2.2989307e-03
   6.0931796e+03   1.0005449e+00   2.3011894e-03
   6.0931826e+03   1.0053487e+00   2.3122379e-03
   6.0931916e+03   1.0035445e+00   2.3080882e-03
   6.0931944e+03   1.0016819e+00   2.3038044e-03
   6.0931974e+03   1.0009132e+00   2.3020365e-03
   6.0932003e+03   1.0136848e+00   2.3314104e-03
   6.0932032e+03   1.0043320e+00   2.3098995e-03
   6.0932064e+03   1.0015587e+00   2.3035212e-03
   6.0932096e+03   9.9894841e-01   2.2975176e-03
   6.0932126e+03   1.0001767e+00   2.3003426e-03
   6.0932161e+03   1.0009537e+00   2.3021296e-03
   6.0932192e+03   1.0003911e+00   2.3008357e-03
   6.0932224e+03   9.9895982e-01   2.2975438e-03
   6.0932255e+03   1.0074545e+00   2.3170809e-03
   6.0932286e+03   9.9921342e-01   2.2981271e-03
   6.0951202e+03   1.0131481e+00   4.3558680e-03
   6.0951231e+03   1.0028591e+00   4.3234750e-03
   6.0951261e+03   9.9711190e-01   4.3061397e-03
   6.0951291e+03   9.9592022e-01   4.3038257e-03
   6.0951322e+03   9.9851204e-01   4.3139727e-03
   6.0951352e+03   9.9692150e-01   4.3102192e-03
   6.0951388e+03   9.9683731e-01   4.3116204e-03
   6.0951420e+03   9.9897112e-01   4.3201537e-03
   6.0951450e+03   9.9580128e-01   4.3109838e-03
   6.0951480e+03   1.0018989e+00   4.3324392e-03
   6.0951510e+03   1.0080841e+00   4.3541160e-03
   6.0951540e+03   9.9890705e-01   4.3249108e-03
   6.0951569e+03   9.9907540e-01   4.3265447e-03
   6.0951599e+03   1.0032541e+00   4.3414255e-03
   6.0951630e+03   9.9948008e-01   4.3300006e-03
   6.0951665e+03   1.0033324e+00   4.3438857e-03
   6.0951698e+03   1.0038916e+00   4.3467601e-03
   6.0951731e+03   9.9343101e-01   4.3130860e-03
   6.0951762e+03   9.9616692e-01   4.3230310e-03
   6.0951794e+03   1.0002304e+00   4.3373245e-03
   6.0951834e+03   9.9457848e-01   4.3195994e-03
   6.0951867e+03   9.9214464e-01   4.3123094e-03
   6.0951898e+03   9.9380281e-01   4.3184955e-03
   6.0951930e+03   9.9393473e-01   4.3195994e-03
   6.0951961e+03   9.9394923e-01   4.3202635e-03
   6.0951992e+03   9.9330558e-01   4.3187155e-03
   6.0952029e+03   9.9262414e-01   4.3171036e-03
   6.0952062e+03   9.9705789e-01   4.3323286e-03
   6.0952094e+03   9.9269558e-01   4.3183782e-03
   6.0952126e+03   9.9089286e-01   4.3128663e-03
   6.0952157e+03   9.9624432e-01   4.3310009e-03
   6.0952188e+03   9.9639441e-01   4.3318913e-03
   6.0952220e+03   9.9437216e-01   4.3255681e-03
   6.0952251e+03   9.9768480e-01   4.3368787e-03
   6.0952287e+03   1.0032471e+00   4.3556650e-03
   6.0952321e+03   1.0000566e+00   4.3454276e-03
   6.0952354e+03   1.0017113e+00   4.3511911e-03
   6.0952384e+03   1.0003332e+00   4.3468782e-03
   6.0952415e+03   9.9794205e-01   4.3392029e-03
   6.0952447e+03   1.0038912e+00   4.3591213e-03
   6.0952478e+03   9.9529905e-01   4.3308908e-03
   6.0952509e+03   9.9557209e-01   4.3319903e-03
   6.0952541e+03   1.0026708e+00   4.3556727e-03
   6.0952574e+03   9.9593341e-01   4.3335542e-03
   6.0952606e+03   1.0033381e+00   4.3582329e-03
   6.0952638e+03   9.9352423e-01   4.3259064e-03
   6.0952670e+03   9.9675868e-01   4.3367644e-03
   6.0952702e+03   9.9738556e-01   4.3389819e-03
   6.0952733e+03   1.0008694e+00   4.3506525e-03
   6.0952765e+03   1.0047687e+00   4.3636991e-03
   6.0952797e+03   1.0015941e+00   4.3533244e-03
   6.0952828e+03   9.9293710e-01   4.3248009e-03
   6.0952859e+03   1.0029266e+00   4.3580033e-03
   6.0952894e+03   9.9723552e-01   4.3393172e-03
   6.0952927e+03   9.9917160e-01   4.3458742e-03
   6.0952960e+03   9.9667485e-01   4.3377623e-03
   6.0952994e+03   9.9976984e-01   4.3481728e-03
   6.0953027e+03   9.9576757e-01   4.3350963e-03
   6.0953059e+03   1.0032075e+00   4.3599023e-03
   6.0953092e+03   1.0044985e+00   4.3643663e-03
   6.0953125e+03   1.0022123e+00   4.3570007e-03
   6.0953156e+03   1.0044084e+00   4.3644813e-03
   6.0953189e+03   1.0022465e+00   4.3575554e-03
   6.0953221e+03   1.0048714e+00   4.3664904e-03
   6.0953252e+03   1.0047911e+00   4.3664864e-03
   6.0953285e+03   1.0005964e+00   4.3528846e-03
   6.0953316e+03   1.0014124e+00   4.3558869e-03
   6.0953349e+03   1.0027968e+00   4.3607986e-03
   6.0953382e+03   1.0003627e+00   4.3531063e-03
   6.0953414e+03   1.0041908e+00   4.3661567e-03
   6.0953446e+03   9.9348064e-01   4.3311074e-03
   6.0953480e+03   9.9935147e-01   4.3509923e-03
   6.0953513e+03   1.0038900e+00   4.3664904e-03
   6.0953545e+03   9.9844782e-01   4.3489786e-03
   6.0953578e+03   9.9708056e-01   4.3449889e-03
   6.0953610e+03   9.9201214e-01   4.3287800e-03
   6.0953643e+03   1.0031239e+00   4.3661719e-03
   6.0953675e+03   1.0007194e+00   4.3588419e-03
   6.0953707e+03   9.9837795e-01   4.3517682e-03
   6.0953782e+03   1.0102906e+00   4.3929307e-03
   6.0953806e+03   9.9431611e-01   4.3406515e-03
   6.0953839e+03   9.9704397e-01   4.3505375e-03
   6.0953872e+03   1.0017569e+00   4.3670467e-03
   6.0953904e+03   9.9753226e-01   4.3539937e-03
   6.0953934e+03   9.9518748e-01   4.3471533e-03
   6.1001314e+03   9.9911435e-01   3.7657804e-03
   6.1001342e+03   9.9332507e-01   3.7439599e-03
   6.1001372e+03   9.8955349e-01   3.7297444e-03
   6.1001401e+03   9.9717678e-01   3.7584775e-03
   6.1001430e+03   9.9347951e-01   3.7445420e-03
   6.1001459e+03   9.9788036e-01   3.7611294e-03
   6.1001489e+03   9.9396661e-01   3.7463780e-03
   6.1001518e+03   9.9332680e-01   3.7439665e-03
   6.1001548e+03   9.9439450e-01   3.7479907e-03
   6.1001577e+03   9.9654895e-01   3.7561111e-03
   6.1001605e+03   9.9216795e-01   3.7395986e-03
   6.1001640e+03   9.9550525e-01   3.7521773e-03
   6.1001671e+03   9.8870205e-01   3.7265352e-03
   6.1001700e+03   9.9803469e-01   3.7617110e-03
   6.1001729e+03   9.9372211e-01   3.7454564e-03
   6.1001759e+03   9.8885405e-01   3.7271081e-03
   6.1001788e+03   9.9846258e-01   3.7633238e-03
   6.1001817e+03   9.9146666e-01   3.7369554e-03
   6.1001847e+03   1.0008254e+00   3.7722295e-03
   6.1001876e+03   9.9916882e-01   3.7659857e-03
   6.1001906e+03   9.9825817e-01   3.7625534e-03
   6.1001944e+03   9.9938299e-01   3.7667930e-03
   6.1001975e+03   9.9424166e-01   3.7474146e-03
   6.1002004e+03   9.9821698e-01   3.7623981e-03
   6.1002033e+03   9.9972887e-01   3.7680966e-03
   6.1002062e+03   1.0029172e+00   3.7801138e-03
   6.1002091e+03   9.9702176e-01   3.7578932e-03
   6.1002120e+03   9.9265788e-01   3.7414452e-03
   6.1002150e+03   9.9598279e-01   3.7539772e-03
   6.1002179e+03   9.9714353e-01   3.7583521e-03
   6.1002209e+03   1.0065576e+00   3.7938349e-03
   6.1002238e+03   9.9467141e-01   3.7490344e-03
   6.1002271e+03   1.0019433e+00   3.7764431e-03
   6.1002302e+03   9.9892480e-01   3.7650660e-03
   6.1002333e+03   1.0033507e+00   3.7817477e-03
   6.1002363e+03   1.0009810e+00   3.7728160e-03
   6.1002392e+03   1.0020877e+00   3.7769872e-03
   6.1002422e+03   9.9521931e-01   3.7510995e-03
   6.1002452e+03   9.9229087e-01   3.7400619e-03
   6.1002483e+03   9.9742120e-01   3.7593987e-03
   6.1002512e+03   1.0022109e+00   3.7774516e-03
   6.1002541e+03   9.9659539e-01   3.7562862e-03
   6.1002570e+03   1.0109258e+00   3.8102991e-03
   6.1002600e+03   9.9999584e-01   3.7691029e-03
   6.1002629e+03   1.0020568e+00   3.7768710e-03
   6.1002658e+03   1.0055997e+00   3.7902243e-03
   6.1002687e+03   1.0056544e+00   3.7904306e-03
   6.1002720e+03   1.0094661e+00   3.8047975e-03
   6.1002751e+03   9.9629345e-01   3.7551481e-03
   6.1002782e+03   1.0065284e+00   3.7937249e-03
   6.1002812e+03   9.9932151e-01   3.7665612e-03
   6.1002844e+03   9.9733972e-01   3.7590916e-03
   6.1002875e+03   1.0043038e+00   3.7853401e-03
   6.1002906e+03   9.9898451e-01   3.7652910e-03
   6.1002936e+03   1.0059089e+00   3.7913897e-03
   6.1002965e+03   1.0003051e+00   3.7702684e-03
   6.1002995e+03   9.9183163e-01   3.7383310e-03
   6.1003025e+03   1.0023949e+00   3.7781451e-03
   6.1003056e+03   1.0045518e+00   3.7862746e-03
   6.1003087e+03   9.9926270e-01   3.7663395e-03
   6.1003119e+03   1.0018403e+00   3.7760550e-03
   6.1003150e+03   1.0036882e+00   3.7830199e-03
   6.1003180e+03   1.0055714e+00   3.7901178e-03
   6.1003210e+03   1.0035023e+00   3.7823190e-03
   6.1003240e+03   1.0043664e+00   3.7855762e-03
   6.1003269e+03   1.0064338e+00   3.7933685e-03
   6.1003299e+03   1.0009801e+00   3.7728126e-03
   6.1003330e+03   1.0075731e+00   3.7976624e-03
   6.1003361e+03   1.0066186e+00   3.7940648e-03
   6.1003391e+03   1.0125103e+00   3.8162712e-03
   6.1003421e+03   1.0111736e+00   3.8112331e-03
   6.1003451e+03   1.0101189e+00   3.8072580e-03
   6.1003481e+03   1.0064037e+00   3.7932549e-03
   6.1003511e+03   1.0055696e+00   3.7901112e-03
   6.1003541e+03   1.0018729e+00   3.7761778e-03
   6.1003571e+03   1.0041195e+00   3.7846454e-03
   6.1003601e+03   9.9837044e-01   3.7629765e-03
   6.1003631e+03   9.9445559e-01   3.7482210e-03
   6.1003661e+03   1.0115476e+00   3.8126427e-03
   6.1003690e+03   9.9907662e-01   3.7656382e-03
   6.1011382e+03   9.9837906e-01   5.0446878e-03
   6.1011423e+03   9.9617248e-01   5.0335383e-03
   6.1011450e+03   9.9697774e-01   5.0376071e-03
